FECHA,HORA,TAC,EAC,SAG,TLA,XAL,MER,PED,CES,PLA,HAN,VIF,CUA,TPN,CHA,TAH,IMP,SUR
08-01-2008,7,0.6,1.1,0.9,0.8,0.9,0.2,1.6,0.8,0.9,-99.9,0.7,2.0,2.1,-99.9,1.0,0.3,-99.9
08-01-2008,8,0.7,1.1,0.9,1.1,0.6,0.2,0.8,0.8,0.6,-99.9,0.9,1.3,2.0,-99.9,0.7,0.6,-99.9
08-01-2008,9,1.0,0.8,1.5,1.1,1.0,0.5,-99.9,0.4,0.6,-99.9,0.4,0.7,0.5,-99.9,0.3,0.4,-99.9
08-01-2008,10,0.5,0.3,0.8,0.8,0.9,0.2,-99.9,-99.9,0.8,-99.9,0.5,1.3,1.1,0.7,1.3,0.3,-99.9
08-01-2008,11,0.9,1.3,0.8,1.6,1.2,0.7,-99.9,-99.9,1.1,-99.9,0.9,2.2,1.0,0.7,1.3,1.7,-99.9
08-01-2008,12,1.7,2.1,1.0,2.0,0.8,0.8,1.4,-99.9,1.5,-99.9,1.1,2.2,1.6,1.5,1.2,1.3,-99.9
08-01-2008,13,1.8,1.7,0.2,2.1,1.1,0.2,1.1,0.2,1.2,-99.9,1.4,2.6,1.4,1.5,-99.9,0.9,-99.9
08-01-2008,14,2.0,1.6,0.8,2.1,1.4,0.4,0.9,0.9,1.6,-99.9,0.4,2.1,1.4,1.8,1.7,1.6,-99.9
08-01-2008,15,0.6,1.4,0.1,1.4,1.7,0.8,1.6,0.6,0.7,-99.9,2.0,1.3,3.7,2.2,-99.9,1.5,-99.9
08-01-2008,16,1.4,0.6,1.4,0.2,1.0,0.3,1.1,1.5,0.4,-99.9,2.0,1.8,2.9,3.8,-99.9,0.6,-99.9
08-01-2008,17,1.1,1.3,1.3,1.2,0.6,1.1,0.5,1.0,1.0,-99.9,1.8,0.9,2.1,4.2,2.3,1.0,-99.9
08-01-2008,18,1.3,0.7,3.7,1.9,2.9,3.1,0.8,2.9,1.0,-99.9,2.7,2.4,2.8,4.7,0.6,1.9,-99.9
08-01-2008,19,1.9,0.4,2.9,1.6,2.2,2.7,0.3,2.2,0.8,-99.9,1.3,3.5,3.7,4.6,2.6,2.9,-99.9
08-01-2008,20,1.2,0.6,1.6,2.3,0.9,1.5,1.5,1.6,1.0,-99.9,3.4,4.5,3.4,3.8,2.3,2.3,-99.9
08-01-2008,21,0.9,1.3,2.2,1.7,1.8,0.7,0.7,1.1,2.3,-99.9,2.1,3.8,3.0,1.8,0.8,2.3,-99.9
08-01-2008,22,1.2,1.3,2.4,1.9,2.0,0.9,2.5,1.3,1.4,-99.9,1.9,2.3,1.8,0.9,1.0,1.7,-99.9
08-01-2008,23,1.5,2.7,2.7,2.6,1.8,1.0,2.2,0.3,1.6,-99.9,1.2,2.4,2.3,1.2,0.6,0.3,-99.9
08-01-2008,24,1.7,2.4,2.2,2.7,1.1,1.2,1.0,0.4,1.0,-99.9,0.8,1.4,1.7,0.1,0.4,1.9,-99.9
09-01-2008,1,1.6,1.6,1.0,2.2,0.8,2.1,1.1,0.1,0.6,-99.9,1.5,1.5,2.1,0.7,2.1,2.3,-99.9
09-01-2008,2,0.7,0.9,1.1,2.6,0.6,2.0,1.0,0.4,0.7,-99.9,1.2,1.6,2.6,1.5,0.9,3.0,-99.9
09-01-2008,3,1.7,1.8,1.4,2.4,0.6,2.2,1.8,0.4,0.7,-99.9,0.7,1.3,2.3,1.3,0.9,3.0,-99.9
09-01-2008,4,1.4,1.3,1.3,1.8,0.5,1.5,1.9,0.9,1.1,-99.9,0.9,0.6,2.4,1.5,0.5,2.0,-99.9
09-01-2008,5,-99.9,0.7,0.8,1.7,0.6,1.0,2.2,1.0,0.8,-99.9,0.7,1.3,2.8,0.2,0.5,1.0,-99.9
09-01-2008,6,-99.9,0.5,1.2,1.1,0.6,0.6,1.7,0.6,0.6,-99.9,0.8,1.7,2.1,1.1,0.1,0.1,-99.9
09-01-2008,7,-99.9,1.0,1.0,0.9,0.7,0.3,1.5,0.8,0.9,-99.9,0.7,1.6,1.9,1.2,0.5,0.8,-99.9
09-01-2008,8,1.4,1.4,0.5,0.7,0.5,0.2,1.4,0.9,0.4,-99.9,0.8,1.5,2.3,0.5,0.1,1.1,-99.9
09-01-2008,9,0.6,0.9,1.4,0.9,1.1,0.4,0.7,1.1,0.4,-99.9,1.0,0.3,0.9,0.6,0.4,0.6,-99.9
09-01-2008,10,0.7,0.2,0.9,0.6,1.3,0.2,0.9,0.5,0.9,-99.9,1.0,1.8,1.4,1.0,1.0,0.7,-99.9
09-01-2008,11,1.0,1.2,1.0,1.0,-99.9,0.5,1.2,0.6,1.1,-99.9,0.4,2.2,1.5,0.3,0.9,1.3,-99.9
09-01-2008,12,1.3,1.5,1.2,1.8,-99.9,0.4,1.2,0.8,0.8,-99.9,1.1,2.6,1.7,0.5,1.1,1.7,-99.9
09-01-2008,13,2.5,2.3,1.1,2.4,-99.9,0.3,1.1,1.6,1.5,-99.9,2.1,2.5,1.4,1.6,2.5,2.0,-99.9
09-01-2008,14,2.5,2.2,2.3,2.3,1.7,1.0,0.9,1.1,0.8,-99.9,2.5,2.3,2.5,3.6,2.3,2.6,-99.9
09-01-2008,15,1.7,1.9,2.1,1.8,1.6,1.5,2.0,2.5,1.7,-99.9,1.1,1.7,3.8,5.3,4.6,1.6,-99.9
09-01-2008,16,1.3,0.2,4.1,1.4,2.8,1.9,2.7,3.4,1.8,-99.9,0.9,4.0,4.5,5.6,4.4,0.9,-99.9
09-01-2008,17,1.0,1.6,4.7,1.9,4.1,1.8,0.3,3.2,1.4,-99.9,3.8,3.2,4.4,5.7,4.7,4.0,-99.9
09-01-2008,18,1.9,0.7,4.1,3.8,3.9,2.6,2.8,2.7,2.4,-99.9,4.1,4.0,4.6,5.5,5.3,4.5,-99.9
09-01-2008,19,2.3,2.5,4.4,3.0,3.4,2.8,2.1,2.5,0.8,-99.9,3.6,4.8,5.1,5.0,5.6,3.6,-99.9
09-01-2008,20,1.6,1.1,3.7,1.2,2.5,2.2,0.8,1.7,0.4,-99.9,2.9,3.9,5.5,4.5,2.0,2.6,-99.9
09-01-2008,21,1.7,0.5,2.8,1.2,1.4,1.1,0.3,1.2,0.9,-99.9,0.9,4.8,3.9,4.2,1.2,2.2,-99.9
09-01-2008,22,2.3,0.4,2.5,1.4,0.6,0.9,0.5,0.5,1.2,-99.9,0.8,5.1,2.1,3.1,0.3,1.8,-99.9
09-01-2008,23,1.1,1.3,1.5,0.9,0.9,1.0,0.8,0.2,0.6,-99.9,1.1,4.9,2.2,2.3,0.6,0.9,-99.9
09-01-2008,24,1.4,1.2,1.4,1.4,0.7,0.9,1.8,0.6,1.4,-99.9,0.8,3.8,2.5,1.8,1.2,1.0,-99.9
10-01-2008,1,-99.9,1.5,0.7,1.4,0.3,0.9,2.1,0.8,1.9,-99.9,0.9,4.4,3.3,2.3,0.7,0.8,-99.9
10-01-2008,2,-99.9,1.5,0.7,0.9,0.5,0.6,2.3,1.0,2.0,-99.9,1.1,-99.9,2.2,0.3,0.7,0.4,-99.9
10-01-2008,3,-99.9,1.7,1.0,1.4,0.9,0.4,2.5,0.8,1.2,-99.9,0.7,-99.9,2.3,1.1,1.3,0.8,-99.9
10-01-2008,4,0.3,1.5,1.0,1.5,0.8,0.5,1.1,0.8,0.8,-99.9,0.9,-99.9,2.3,0.1,0.6,0.3,-99.9
10-01-2008,5,0.4,0.6,0.9,0.9,0.7,0.5,2.0,0.7,0.9,-99.9,0.3,4.2,2.7,0.5,0.6,0.2,-99.9
10-01-2008,6,0.6,1.5,1.3,1.4,1.0,0.3,2.6,0.5,0.8,-99.9,0.9,4.1,2.7,0.7,0.4,0.4,-99.9
10-01-2008,7,0.5,1.6,0.8,1.5,0.7,0.5,0.5,0.1,0.5,-99.9,0.7,4.1,2.2,0.6,0.9,0.7,-99.9
10-01-2008,8,0.6,1.4,1.0,1.2,0.6,0.4,0.9,0.4,0.6,-99.9,0.8,2.8,2.7,0.7,0.6,0.3,-99.9
10-01-2008,9,0.2,0.2,0.7,0.4,0.9,0.5,0.2,0.7,0.3,-99.9,0.7,3.5,0.3,0.6,0.4,0.2,-99.9
10-01-2008,10,1.0,0.8,1.0,1.0,0.9,0.1,0.9,0.8,1.0,-99.9,0.7,3.3,1.2,0.6,0.9,0.8,-99.9
10-01-2008,11,1.1,1.3,0.7,0.8,1.1,0.5,1.2,0.6,1.0,-99.9,1.0,3.0,1.6,1.0,1.0,0.9,-99.9
10-01-2008,12,1.4,1.5,1.1,1.2,1.3,0.4,1.7,0.4,1.4,-99.9,1.1,2.7,1.6,0.8,1.0,1.5,-99.9
10-01-2008,13,1.2,1.9,1.5,0.8,1.4,1.0,1.1,0.8,1.3,-99.9,0.8,2.8,1.7,1.1,0.7,1.8,-99.9
10-01-2008,14,0.9,1.5,1.3,0.3,1.0,0.7,0.6,0.1,1.1,-99.9,0.8,3.9,1.0,2.0,1.7,0.8,-99.9
10-01-2008,15,1.1,1.6,1.2,0.9,1.3,1.1,1.6,0.7,0.5,-99.9,1.3,4.1,1.6,1.8,2.2,1.5,-99.9
10-01-2008,16,1.0,1.1,0.7,1.5,0.4,0.8,1.6,0.4,1.2,-99.9,2.3,3.3,1.2,3.9,2.7,0.7,-99.9
10-01-2008,17,1.3,1.9,1.5,2.1,1.4,0.8,0.9,2.1,0.8,-99.9,1.9,2.9,0.6,4.3,2.7,0.7,-99.9
10-01-2008,18,1.6,1.8,2.5,2.0,1.7,2.3,1.2,2.7,1.2,-99.9,2.0,2.6,3.0,5.1,2.0,1.8,-99.9
10-01-2008,19,2.1,1.3,2.8,1.8,2.7,2.6,1.0,2.2,0.7,-99.9,2.2,3.3,3.3,4.7,2.9,3.9,-99.9
10-01-2008,20,0.6,1.9,0.7,1.2,1.0,1.6,1.5,1.2,1.4,-99.9,1.9,3.9,2.0,4.1,1.6,1.3,-99.9
10-01-2008,21,2.1,2.6,1.5,3.4,1.6,0.9,1.3,0.1,1.9,-99.9,1.4,2.2,1.5,1.2,1.6,1.5,-99.9
10-01-2008,22,1.6,1.7,1.2,2.4,1.4,1.0,1.9,0.3,1.9,-99.9,1.0,1.6,2.7,0.7,0.3,1.1,-99.9
10-01-2008,23,1.9,0.9,2.0,1.5,1.3,1.0,1.6,0.9,1.4,-99.9,0.9,0.6,2.2,0.3,1.1,1.9,-99.9
10-01-2008,24,1.8,1.3,1.1,2.0,0.7,1.5,2.7,0.9,1.2,-99.9,1.8,2.1,2.3,0.6,1.4,2.3,-99.9
11-01-2008,1,1.6,0.3,1.2,1.3,0.5,0.5,3.0,0.5,1.2,-99.9,1.5,2.6,-99.9,1.5,1.2,1.4,-99.9
11-01-2008,2,0.8,0.8,1.5,1.2,0.9,0.6,3.1,0.9,0.5,-99.9,0.8,2.8,-99.9,0.7,2.2,0.9,-99.9
11-01-2008,3,0.8,0.7,1.0,0.8,0.9,0.5,1.1,0.8,0.8,-99.9,0.4,-99.9,-99.9,0.9,1.5,0.6,-99.9
11-01-2008,4,0.6,1.4,-99.9,0.9,0.8,0.3,0.9,0.7,0.8,-99.9,0.7,-99.9,2.1,0.5,0.3,0.8,-99.9
11-01-2008,5,0.9,1.2,-99.9,0.6,0.5,0.2,0.9,0.8,0.5,-99.9,0.6,-99.9,1.7,0.3,0.4,0.8,-99.9
11-01-2008,6,0.9,1.3,-99.9,1.2,0.7,0.4,1.1,0.6,0.7,-99.9,0.5,2.4,2.0,0.4,0.5,1.0,-99.9
11-01-2008,7,0.7,0.7,0.9,0.1,0.4,0.3,1.4,0.9,0.9,-99.9,0.8,1.7,2.0,0.6,0.5,0.7,-99.9
11-01-2008,8,0.3,1.1,1.0,1.0,1.0,0.1,0.2,0.4,0.3,-99.9,0.7,3.5,1.6,-99.9,0.6,0.3,-99.9
11-01-2008,9,0.3,0.9,0.9,0.6,0.3,0.2,0.5,0.5,0.8,-99.9,1.1,2.0,0.6,-99.9,0.3,0.6,-99.9
11-01-2008,10,0.2,0.5,1.5,0.6,0.7,0.2,0.7,0.2,0.1,-99.9,0.9,1.2,0.9,-99.9,1.0,1.2,-99.9
11-01-2008,11,1.0,-99.9,0.5,1.1,1.2,0.3,1.1,0.8,1.1,-99.9,0.5,1.5,1.4,1.1,1.5,1.8,-99.9
11-01-2008,12,1.6,-99.9,1.1,0.9,0.7,0.6,1.6,0.2,1.2,-99.9,0.5,1.8,1.8,5.3,1.5,2.7,-99.9
11-01-2008,13,1.2,-99.9,1.4,0.6,1.6,0.8,1.2,0.4,0.8,-99.9,0.6,1.8,1.5,5.8,0.9,1.3,-99.9
11-01-2008,14,1.0,1.4,1.8,1.1,1.5,1.2,0.9,1.0,0.6,-99.9,1.4,2.1,1.3,5.7,1.9,1.1,-99.9
11-01-2008,15,1.6,2.5,2.1,1.4,1.5,1.2,1.0,0.8,0.7,-99.9,0.7,4.7,1.4,6.1,3.6,0.5,-99.9
11-01-2008,16,1.4,1.0,3.6,1.1,2.6,2.5,1.4,3.6,0.9,-99.9,2.4,4.7,1.4,6.9,6.2,2.2,-99.9
11-01-2008,17,2.7,3.3,5.6,1.6,4.8,3.7,2.1,3.3,2.8,-99.9,1.2,4.5,4.4,6.8,5.3,4.4,-99.9
11-01-2008,18,3.4,3.7,5.3,2.2,5.3,1.4,2.8,3.0,3.6,-99.9,4.5,4.2,4.4,6.5,6.1,2.3,-99.9
11-01-2008,19,2.8,1.8,4.6,2.5,4.3,2.1,2.1,2.1,2.1,-99.9,4.3,4.9,4.7,-99.9,2.7,3.5,-99.9
11-01-2008,20,1.8,1.3,4.0,0.5,2.4,2.2,1.0,1.4,0.8,-99.9,3.1,4.3,2.2,-99.9,1.7,2.3,-99.9
11-01-2008,21,1.5,1.0,3.0,2.8,2.0,1.6,0.7,2.0,0.7,-99.9,3.0,2.4,3.2,-99.9,1.1,2.8,-99.9
11-01-2008,22,1.9,1.3,2.8,2.7,1.9,1.1,1.1,2.8,0.2,-99.9,2.6,3.0,3.6,4.4,1.5,2.4,-99.9
11-01-2008,23,1.9,0.8,2.8,2.4,0.9,0.9,1.3,1.3,0.6,-99.9,2.6,4.0,3.0,4.5,3.5,1.6,-99.9
11-01-2008,24,0.1,1.5,2.2,0.7,0.4,0.7,0.7,1.1,0.9,-99.9,0.8,4.5,2.0,5.1,0.4,0.9,-99.9
12-01-2008,1,1.7,1.8,0.7,1.5,1.3,0.5,1.2,0.4,0.9,-99.9,0.7,5.1,1.4,2.6,1.7,1.1,-99.9
12-01-2008,2,1.2,0.9,1.2,1.8,1.2,1.6,1.0,0.5,-99.9,-99.9,0.9,4.3,1.2,2.5,1.4,2.2,-99.9
12-01-2008,3,0.6,0.9,1.0,1.3,0.8,1.1,1.7,0.3,-99.9,-99.9,0.4,3.7,1.6,2.0,2.7,1.5,-99.9
12-01-2008,4,0.5,1.4,1.2,0.9,0.5,0.5,1.8,0.5,-99.9,-99.9,0.4,3.2,2.3,1.5,1.4,0.1,-99.9
12-01-2008,5,0.4,1.4,0.3,0.7,0.5,0.3,2.1,0.2,-99.9,-99.9,0.8,2.7,2.0,0.7,0.7,0.3,-99.9
12-01-2008,6,0.7,1.5,0.7,1.5,0.8,0.2,2.5,0.2,0.9,-99.9,0.5,2.6,1.9,0.3,0.9,0.5,-99.9
12-01-2008,7,0.5,1.5,1.0,1.5,0.9,-99.9,2.4,0.3,0.9,-99.9,0.7,3.4,2.0,0.4,0.8,0.8,-99.9
12-01-2008,8,0.8,1.3,1.0,1.6,0.3,-99.9,1.9,0.0,0.2,-99.9,0.9,3.0,1.7,0.6,0.6,0.6,-99.9
12-01-2008,9,0.8,0.7,0.7,1.4,0.1,-99.9,0.5,0.4,0.1,-99.9,1.3,1.6,0.5,0.2,0.6,0.6,-99.9
12-01-2008,10,1.2,1.7,1.6,0.3,1.6,0.9,0.8,0.8,0.8,-99.9,0.8,0.8,1.2,1.0,0.9,0.8,-99.9
12-01-2008,11,1.2,2.1,0.5,1.6,1.4,0.9,1.0,0.6,1.1,-99.9,1.1,1.4,1.3,2.1,0.9,1.1,-99.9
12-01-2008,12,1.6,1.8,1.0,1.7,1.5,0.4,1.0,0.3,0.8,-99.9,1.1,1.1,0.9,2.1,1.4,2.1,-99.9
12-01-2008,13,1.5,2.3,0.3,-99.9,0.2,0.4,0.8,0.4,1.1,-99.9,1.4,0.9,1.1,1.5,1.9,1.5,-99.9
12-01-2008,14,1.5,2.3,0.7,-99.9,-99.9,1.3,0.8,0.4,1.3,-99.9,1.1,2.5,-99.9,1.3,2.9,1.8,-99.9
12-01-2008,15,0.9,1.0,1.6,-99.9,-99.9,0.7,0.9,0.7,0.7,-99.9,1.3,2.7,-99.9,0.6,2.0,0.7,-99.9
12-01-2008,16,0.8,0.7,0.6,1.2,-99.9,0.5,2.0,1.4,0.7,-99.9,0.9,-99.9,-99.9,3.1,2.3,0.1,-99.9
12-01-2008,17,0.8,2.5,1.5,1.0,0.4,1.1,0.8,1.1,-99.9,-99.9,1.3,-99.9,2.1,4.4,1.7,1.2,-99.9
12-01-2008,18,1.4,1.4,2.6,1.1,1.8,1.4,1.5,1.9,-99.9,-99.9,2.0,-99.9,3.3,4.9,2.3,1.4,-99.9
12-01-2008,19,1.5,1.6,3.0,2.8,2.6,2.6,0.9,2.1,-99.9,-99.9,2.1,3.7,3.2,4.6,5.4,3.9,-99.9
12-01-2008,20,1.9,3.0,2.5,1.3,1.8,1.8,0.5,1.6,1.0,-99.9,1.3,4.0,3.4,4.1,1.0,2.1,-99.9
12-01-2008,21,1.8,2.4,1.7,2.4,0.8,0.8,1.7,0.5,2.1,-99.9,2.7,3.2,2.4,3.2,1.1,1.6,-99.9
12-01-2008,22,2.3,2.4,1.3,2.7,1.5,0.6,2.2,0.8,-99.9,-99.9,2.8,2.0,2.6,3.1,1.1,1.3,-99.9
12-01-2008,23,1.8,2.8,1.7,2.5,1.1,0.8,1.9,0.8,-99.9,-99.9,1.7,2.4,3.1,1.5,1.5,1.2,-99.9
12-01-2008,24,2.6,2.5,2.6,3.0,1.5,0.9,2.0,0.5,-99.9,-99.9,1.6,1.6,2.9,1.0,1.5,2.1,-99.9
13-01-2008,1,2.8,1.6,3.9,2.6,1.3,2.7,1.6,0.7,1.8,-99.9,1.2,1.7,2.5,0.9,3.9,2.9,-99.9
13-01-2008,2,2.2,2.3,3.8,2.2,0.8,2.2,1.3,0.5,1.2,-99.9,2.0,1.1,1.6,0.6,2.5,3.3,-99.9
13-01-2008,3,2.0,2.2,3.5,2.5,0.7,2.1,1.3,0.2,0.6,-99.9,1.2,0.4,1.6,0.6,0.8,3.3,-99.9
13-01-2008,4,2.1,2.4,3.0,2.8,0.8,-99.9,1.5,0.3,0.4,-99.9,2.3,1.2,2.4,0.8,1.2,2.9,-99.9
13-01-2008,5,2.1,1.7,3.5,2.4,1.3,-99.9,0.9,0.4,0.8,-99.9,1.3,1.2,1.8,1.2,1.8,3.0,-99.9
13-01-2008,6,1.5,1.5,3.2,2.2,1.2,-99.9,1.1,0.4,0.9,-99.9,0.8,0.6,2.2,0.7,1.2,2.6,-99.9
13-01-2008,7,1.3,2.0,3.2,2.6,0.8,1.4,1.1,0.3,0.4,-99.9,1.2,0.8,2.1,0.7,1.5,-99.9,-99.9
13-01-2008,8,1.6,1.7,3.5,2.8,0.7,1.6,0.9,0.6,0.8,-99.9,1.3,1.1,1.8,1.0,0.8,-99.9,-99.9
13-01-2008,9,2.2,1.9,2.6,2.6,1.4,1.4,0.9,0.9,1.6,-99.9,1.9,1.4,0.4,0.3,1.3,-99.9,-99.9
13-01-2008,10,1.9,2.4,2.2,2.5,1.6,0.7,0.8,0.6,1.5,-99.9,0.9,1.4,1.0,1.3,0.9,0.9,-99.9
13-01-2008,11,1.4,1.5,1.3,1.3,1.2,0.5,1.4,0.7,1.5,-99.9,1.3,2.1,1.2,0.4,1.1,0.9,-99.9
13-01-2008,12,0.5,1.1,1.6,0.6,1.0,0.2,1.2,0.8,1.1,-99.9,1.0,2.1,1.5,0.2,0.9,0.5,-99.9
13-01-2008,13,0.6,0.8,1.1,1.0,0.9,0.2,1.4,0.7,1.1,-99.9,0.8,2.3,1.3,0.2,0.6,1.3,-99.9
13-01-2008,14,0.6,1.4,0.8,0.6,0.3,0.1,1.1,0.1,0.8,-99.9,0.9,2.1,1.1,1.4,1.4,1.1,-99.9
13-01-2008,15,1.4,0.5,0.9,1.8,1.6,0.4,1.1,1.3,0.9,-99.9,1.7,2.0,0.2,2.1,2.0,1.6,-99.9
13-01-2008,16,2.2,1.1,1.0,1.7,0.9,0.9,2.2,2.3,1.1,-99.9,2.2,2.7,3.9,5.1,3.8,2.2,-99.9
13-01-2008,17,2.5,1.8,3.0,1.9,2.2,2.0,3.2,3.4,2.1,-99.9,0.8,2.6,4.7,5.6,4.0,2.6,-99.9
13-01-2008,18,3.1,2.1,4.1,2.7,2.8,2.8,2.6,2.9,2.0,-99.9,2.6,0.6,5.7,5.8,4.0,3.8,-99.9
13-01-2008,19,2.3,1.6,3.9,2.9,2.7,2.9,2.2,2.3,1.4,-99.9,3.8,3.2,5.7,4.9,4.7,3.9,-99.9
13-01-2008,20,1.7,1.3,3.1,2.6,2.3,2.6,1.9,2.1,0.5,-99.9,3.4,3.9,5.9,3.9,4.2,3.0,-99.9
13-01-2008,21,1.5,1.2,2.6,2.0,1.8,1.7,2.1,1.2,0.3,-99.9,2.4,3.6,5.1,3.3,1.0,2.6,-99.9
13-01-2008,22,0.6,1.4,1.8,1.1,1.1,1.2,1.4,0.6,0.4,-99.9,0.4,2.0,4.5,3.1,0.5,1.7,-99.9
13-01-2008,23,1.1,0.5,1.8,1.2,0.6,0.6,0.7,0.5,0.9,-99.9,1.6,2.5,4.5,2.6,0.2,0.5,-99.9
13-01-2008,24,0.1,0.9,0.4,0.8,0.4,0.7,0.5,1.0,0.5,-99.9,1.0,1.8,3.6,0.1,0.7,1.1,-99.9
14-01-2008,1,0.8,1.3,0.5,1.6,0.8,0.5,1.0,0.5,0.8,-99.9,0.6,0.7,3.5,0.6,0.7,0.5,-99.9
14-01-2008,2,0.7,1.3,0.4,1.6,0.5,0.5,1.0,0.6,0.6,-99.9,0.8,1.7,4.6,0.9,0.2,0.8,-99.9
14-01-2008,3,0.7,1.4,1.0,1.5,0.7,0.7,1.4,1.5,0.6,-99.9,1.4,2.1,4.8,0.6,0.3,0.9,-99.9
14-01-2008,4,0.6,1.2,1.2,1.6,0.6,0.5,1.2,0.5,0.8,-99.9,1.0,1.9,2.8,0.7,1.7,0.9,-99.9
14-01-2008,5,0.5,0.8,1.5,1.5,0.7,0.6,1.1,0.0,0.6,-99.9,0.5,1.9,1.6,1.0,0.5,0.1,-99.9
14-01-2008,6,0.8,1.2,1.2,1.7,0.5,0.5,0.9,0.6,0.7,-99.9,0.9,1.5,1.6,0.6,0.7,0.8,-99.9
14-01-2008,7,0.6,1.1,1.2,1.5,1.0,0.3,0.9,0.2,0.6,-99.9,0.8,0.6,1.7,0.2,0.8,1.1,-99.9
14-01-2008,8,0.7,1.0,0.7,1.4,0.6,0.1,0.7,0.7,0.6,-99.9,1.5,0.6,1.5,0.2,0.4,1.1,-99.9
14-01-2008,9,0.7,0.3,0.8,1.3,0.8,0.9,0.7,1.1,0.5,-99.9,1.5,0.3,0.5,0.5,1.0,1.5,-99.9
14-01-2008,10,0.5,0.5,0.8,0.7,1.2,0.4,0.8,0.6,0.6,-99.9,1.1,0.4,1.2,0.7,0.8,0.7,-99.9
14-01-2008,11,0.4,1.0,1.2,0.8,1.3,0.2,0.8,-99.9,0.8,-99.9,0.7,1.5,1.1,0.5,1.6,0.7,-99.9
14-01-2008,12,0.6,1.8,1.0,1.5,1.3,0.5,1.2,-99.9,0.7,-99.9,0.3,2.4,1.9,1.3,1.9,1.3,-99.9
14-01-2008,13,1.9,2.2,2.2,1.6,1.2,1.4,0.8,-99.9,0.5,-99.9,1.8,0.9,1.7,1.9,2.1,1.9,-99.9
14-01-2008,14,1.4,1.0,2.5,1.8,2.2,2.0,0.5,1.4,1.5,-99.9,2.1,1.3,3.3,3.1,3.2,1.4,-99.9
14-01-2008,15,1.0,0.9,2.0,1.8,1.3,1.6,1.7,1.6,0.3,-99.9,2.2,3.1,3.1,4.4,3.9,2.5,-99.9
14-01-2008,16,1.9,3.0,2.9,2.1,2.5,1.9,2.7,2.2,1.4,-99.9,1.8,3.9,3.8,5.5,3.6,2.5,-99.9
14-01-2008,17,2.3,2.1,4.9,2.1,3.8,2.4,2.5,3.4,1.8,-99.9,3.5,3.6,3.7,6.2,5.2,3.3,-99.9
14-01-2008,18,3.5,2.0,4.8,4.3,4.4,2.5,2.7,3.0,1.9,-99.9,3.8,3.8,4.9,6.1,5.1,3.7,-99.9
14-01-2008,19,2.0,2.7,4.6,2.9,4.1,2.2,2.6,2.4,1.8,-99.9,4.3,2.9,5.2,5.2,5.0,3.2,-99.9
14-01-2008,20,2.1,2.0,3.3,1.8,2.8,2.0,0.6,1.9,0.3,-99.9,2.3,3.7,3.8,3.7,5.0,1.4,-99.9
14-01-2008,21,1.8,1.2,2.3,2.5,1.3,0.8,1.0,1.7,0.6,-99.9,2.0,3.7,2.3,2.6,2.0,1.8,-99.9
14-01-2008,22,2.1,1.0,0.7,2.8,0.9,1.3,1.1,0.7,0.8,-99.9,2.0,3.1,0.4,2.0,1.7,2.8,-99.9
14-01-2008,23,2.0,0.3,2.4,2.3,1.3,1.4,0.9,0.3,0.8,-99.9,1.3,2.7,1.5,2.3,0.7,1.3,-99.9
14-01-2008,24,1.4,0.8,2.9,2.3,0.7,0.6,1.6,0.7,0.7,-99.9,1.3,1.3,2.3,1.2,1.8,0.5,-99.9
15-01-2008,1,1.5,0.8,3.0,2.1,0.7,0.5,1.0,0.2,0.5,-99.9,1.6,1.9,1.9,0.6,0.5,1.6,-99.9
15-01-2008,2,1.1,1.3,2.4,1.8,0.6,0.3,2.1,-99.9,0.8,-99.9,0.9,1.9,2.1,0.7,1.5,1.1,-99.9
15-01-2008,3,0.4,0.7,1.9,1.4,0.7,0.5,1.6,-99.9,0.5,-99.9,1.3,1.4,1.7,0.8,0.4,0.9,-99.9
15-01-2008,4,0.3,0.4,1.6,1.3,1.3,0.4,0.6,-99.9,0.6,-99.9,1.4,1.1,1.2,0.5,0.9,0.1,-99.9
15-01-2008,5,0.8,0.5,1.7,1.4,0.4,0.7,0.5,-99.9,0.6,-99.9,1.2,1.2,1.2,0.4,0.7,1.1,-99.9
15-01-2008,6,0.8,0.9,1.9,1.4,0.7,0.6,0.5,0.3,0.7,-99.9,0.9,1.0,1.3,0.7,0.1,0.8,-99.9
15-01-2008,7,0.7,0.8,2.0,1.6,0.9,0.3,0.4,0.4,0.7,-99.9,0.9,0.1,1.5,0.5,1.2,0.2,-99.9
15-01-2008,8,1.0,0.3,-99.9,1.6,-99.9,0.4,0.2,0.3,0.2,-99.9,-99.9,1.6,1.2,0.3,1.4,1.4,-99.9
15-01-2008,9,0.8,0.4,1.8,0.7,1.0,0.5,0.9,0.6,0.6,-99.9,0.6,2.3,0.3,0.3,0.1,1.2,-99.9
15-01-2008,10,0.7,0.2,0.7,1.0,0.7,0.2,0.8,0.4,0.8,-99.9,1.3,1.1,0.9,1.0,0.8,1.3,-99.9
15-01-2008,11,0.9,1.4,0.3,1.1,1.2,0.4,1.3,0.7,1.0,-99.9,0.7,0.8,1.3,1.6,1.9,0.9,-99.9
15-01-2008,12,0.8,1.3,0.5,1.0,0.8,0.9,1.6,0.6,1.2,-99.9,1.0,3.2,1.4,2.1,1.0,0.8,-99.9
15-01-2008,13,0.4,0.7,1.3,1.1,1.7,0.2,1.6,0.4,0.8,-99.9,1.0,3.6,1.1,2.8,3.6,0.4,-99.9
